Date	Price	Open	High	Low	Vol.	Close	Change %	
"Oct 30, 2020"	14.8	14.95	14.95	14.8	154.20K	14.849835	-0.67%	
"Oct 29, 2020"	14.9	16	16	14.9	236.00K	15.8928	-0.67%	
"Oct 28, 2020"	15	16	16	15	123.80K	16.1072	0.67%	
"Oct 27, 2020"	14.9	16	16	14.9	143.20K	15.8928	-0.67%	
"Oct 26, 2020"	15	16	16	15	1.49M	15.8944	-0.66%	
"Oct 23, 2020"	15.1	16	16	15.1	298.50K	16	0.00%	
"Oct 22, 2020"	15.1	15	15.1	15	329.20K	15	0.00%	
"Oct 21, 2020"	15.1	16.5	16.5	15.1	1.34M	16.7211	1.34%	
"Oct 20, 2020"	14.9	15	15	14.9	757.60K	14.8995	-0.67%	
"Oct 19, 2020"	15	15.4	15.4	15	2.51M	14.9996	-2.60%	
"Oct 16, 2020"	15.4	15.76	15.76	15.4	190.90K	15.65756	-0.65%	
"Oct 15, 2020"	15.5	15.9	15.9	15.5	1.06M	15.49932	-2.52%	
"Oct 14, 2020"	15.9	16	16	15.9	1.66M	16	0.00%	
"Oct 13, 2020"	15.9	16.38	16.38	15.9	3.44M	15.88041	-3.05%	
"Oct 12, 2020"	16.4	16.5	16.5	16.4	144.40K	16.4505	-0.30%	
"Oct 09, 2020"	16.45	16.64	16.64	16.45	775.10K	16.342144	-1.79%	
"Oct 08, 2020"	16.75	16.9	16.9	16.75	384.80K	16.74959	-0.89%	
"Oct 07, 2020"	16.9	16.94	16.94	16.9	108.50K	17.04164	0.60%	
"Oct 06, 2020"	16.8	16.95	16.95	16.8	640.50K	16.74999	-1.18%	
"Oct 05, 2020"	17	17	17	17	178.60K	17	0.00%	
"Oct 02, 2020"	17	17.01	17.01	17	258.20K	16.763355	-1.45%	
"Oct 01, 2020"	17.25	16.88	17.25	16.88	134.70K	17.332384	2.68%	
"Sep 30, 2020"	16.8	17.01	17.01	16.8	629.00K	16.809282	-1.18%	
"Sep 29, 2020"	17	16.99	17	16.99	1.10M	16.99	0.00%	
"Sep 28, 2020"	17	17	17	17	287.00K	17	0.00%	
"Sep 25, 2020"	17	17	17	17	104.70K	17	0.00%	
"Sep 24, 2020"	17	16.98	17	16.98	704.30K	16.98	0.00%	
"Sep 23, 2020"	17	17	17	17	253.70K	17	0.00%	
"Sep 22, 2020"	17	17.22	17.22	17	116.80K	17.020248	-1.16%	
"Sep 21, 2020"	17.2	16.99	17.2	16.99	83.30K	17.239753	1.47%	
"Sep 18, 2020"	16.95	17.47	17.47	16.95	398.90K	16.921442	-3.14%	
"Sep 17, 2020"	17.5	17.96	17.96	17.5	317.30K	17.559492	-2.23%	
"Sep 16, 2020"	17.9	18.43	18.43	17.9	154.80K	18.326792	-0.56%	
"Sep 15, 2020"	18	21.58	21.58	18	307.00K	17.6956	-18.00%	
"Sep 14, 2020"	21.95	22.38	22.38	21.95	65.50K	22.38	0.00%	
"Sep 11, 2020"	21.95	23.92	23.92	21.95	165.10K	21.968128	-8.16%	
"Sep 10, 2020"	23.9	24.31	24.31	23.9	5.70K	24.72327	1.70%	
